Piazzale dei Caduti della Montagnola, Roma
Mirandola/Vera, Roma
Mirandola/Grotta Perfetta, Roma
Ambrosini/Leonori, Roma
73683 Ambrosini/Accademia Platonica, Roma
P.Le Caravaggio, Roma
Caravaggio/Georgofili, Roma
Caravaggio/Tor Marancia, Roma
76792 Sartorio/Lotto, Roma
70798 P.za Lante, Roma
76791 Sartorio/Lotto, Roma
Tor Marancia/Lotto, Roma
Tor Marancia/Mantegna, Roma
Tor Marancia/Arcadia, Roma
Rufino, Roma
70667 Navigatori, Roma
70668 Colombo, Roma
70670 Colombo, Roma
Chiarini/Guerrieri, Roma
Guerrieri, Roma
Baccelli, Roma
Aventino/Circo Massimo, Roma
Bocca Della Verita', Roma
Petroselli, Roma
Ara Coeli/P.Za Venezia, Roma
269 Via del Corso, Roma
Corso/Minghetti, Roma
70600 L.Go Chigi, Roma
77877 Tritone/Fontana di Trevi, Roma
Tritone/Barberini, Roma
70886 Barberini, Roma
70603 Veneto, Roma
70604 Veneto, Roma
S. Paolo Del Brasile, Roma
Viale Fiorello la Guardia, Roma, Roma
Del Fiocco/Valle Giulia, Roma
Villa Borghese/Washington, Roma
