Porta San Giovanni, Roma
Magna Grecia/San Giovanni, Roma
Magna Grecia/Tuscolo, Roma
Gallia/Saturnia, Roma
Gallia/Licia, Roma
Licia, Roma
70490 Epiro, Roma
Cameria, Roma
Porta S. Sebastiano, Roma
Appia Antica/Travicella, Roma
Appia Antica/Domine Quo Vadis, Roma
72806 Ardeatina, Roma
72807 Fosse Ardeatine, Roma
Ardeatina/Meropia, Roma
Ardeatina/S. Sebastiano, Roma
Ardeatina/Annunziatella, Roma
Ardeatina/Fotografia, Roma
Ardeatina/Viggiano, Roma
Ardeatina/Grotta Perfetta, Roma
Ardeatina/Cecchignola, Roma
Cecchignola/Casale Zola, Roma
Cecchignola/Fosso Cecchignola, Roma
Cecchignola/Tenuta Cecchignola, Roma
Cecchignola/Kobler, Roma
Cecchignola/Bersaglieri, Roma
Cecchignola/Tor Pagnotta 2, Roma
Cecchignola/Tor Pagnotta 1, Roma
Cecchignola/Fatt. Laurentina, Roma
Castel Di Leva/Cecchignola, Roma
Castel Di Leva/Cassitto, Roma
Castel Di Leva/Zanoni, Roma
Castel Di Leva/Castelluccia, Roma
Castel Di Leva/Rondelet, Roma
Castel Di Leva/Pagnotta, Roma
Castel Di Leva/Tor Pagnotta 2, Roma
Castel Di Leva/Torre S. Anastasia 2, Roma
Castel Di Leva/Torre S. Anastasia 1, Roma
Castel Di Leva/Ardeatina, Roma
Santuario Divino Amore, Roma
Ardeatina/Divino Amore, Roma
Ardeatina/Torri Castel Di Leva, Roma
Ardeatina/Scuola Padre Formato, Roma
