Clodio, Roma
Giuliana/Pretura, Roma
Giuliana/Grazioli Lante, Roma
L.Go Trionfale, Roma
Leone IV, Roma
Risorgimento/Porta Angelica, Roma
Vitelleschi, Roma
P.za Pia/Castel S. Angelo, Roma
Lgt Sassia/S. Spirito, Roma
P.za Della Rovere, Roma
Lgt Gianicolense/Regina Coeli, Roma
Lgt Farnesina, Roma
Lgt Farnesina/Trilussa, Roma
Lgt Sanzio/Filippieri, Roma
Lgt Alberteschi, Roma
Lgt Ripa/Ripense, Roma
Lgt Ripa/Porto, Roma
70923 Marmorata/Vanvitelli, Roma
70925 Marmorata/Galvani, Roma
Marmorata/Caio Cestio, Roma
2 Via Giuseppe Giulietti, Roma
Ostiense/Matteucci, Roma
Ostiense/Mercati Generali, Roma
Ostiense/Garbatella, Roma
71931 Ostiense/Prefettura, Roma
178 Via Ostiense, Roma
72416 Viale di San Paolo, Roma
79292 Baldelli, Roma
71906 Ostiense/Efeso, Roma
71907 Ostiense/Valco S. Paolo, Roma
71908 Valco S. Paolo/Marconi, Roma
71909 Pincherle, Roma
71911 Pincherle, Roma
71912 Pincherle, Roma
Largo San Leonardo Murialdo, Roma
