Stazione Metro Laurentina, Roma
Viale delle Montagne Rocciose, Roma
Colombo/Europa, Roma
Colombo/Agricoltura, Roma
Colombo/Laurentina, Roma
70663 Colombo, Roma
70666 Colombo, Roma
70667 Navigatori, Roma
70670 Colombo/C.ne Ostiense, Roma
70828 Marco Polo/Roncinotto, Roma
Marco Polo/Brichetti, Roma
Piazzale dei Partigiani, Roma
Viale delle Cave Ardeatine, Roma
Marmorata/Vanvitelli, Roma
Petroselli, Roma
Ara Coeli/P.Za Venezia, Roma
Plebiscito, Roma
Argentina, Roma
74 Piazza delle Cinque Lune, Roma
Zanardelli, Roma
P.za Cavour, Roma
Lepanto, Roma
Mazzini/Calboli, Roma
Clodio, Roma
