Piazza dei Cinquecento, Roma
Piazza della Repubblica, Roma
Nazionale/Torino, Roma
Nazionale/Quattro Fontane, Roma
Nazionale/Palazzo Esposizioni, Roma
Nazionale/Quirinale, Roma
70038 P.za Venezia, Roma
81964 Plebiscito, Roma
70042 Argentina, Roma
70044 C.so Vittorio Emanuele/S. A. Della Valle, Roma
197 C.so Vittorio Emanuele II, Roma
73033 Chiesa Nuova, Roma
275 C.so Vittorio Emanuele II, Roma
351 C.so Vittorio Emanuele II, Roma
82181 Lgt Sassia/S. Spirito, Roma
77310 Cavalleggeri/S. Pietro, Roma
63 Via del Crocifisso, Roma
Piazza della Stazione di San Pietro, Roma
