L.Go Don Orione, Roma
Albalonga, Roma
Albalonga/Re Di Roma, Roma
Aosta/Re Di Roma, Roma
Monza/Taranto, Roma
Monza/La Spezia, Roma
Via S. Croce In Gerusalemme, Roma
Via S. Croce In Gerusalemme/Statilia, Roma
Conte Verde/Manzoni, Roma
Conte Verde/P.Za Vittorio Emanuele, Roma
P.za Vittorio Emanuele, Roma
Carlo Alberto, Roma
Gioberti, Roma
Piazza dei Cinquecento, Roma
Indipendenza, Roma
S. M. Battaglia, Roma
Universita'/Min. Aeronautica 70568, Roma
Policlinico/V.Le Universita', Roma
Policlinico, Roma
Morgagni/Regina Margherita, Roma
Bari/Como, Roma
Catania/Forli', Roma
Catania/Pavia, Roma
Provincie, Roma
70577 Valerio Massimo, Roma
Tiburtina/Valerio Massimo, Roma
Tiburtina/Crociate, Roma
Tiburtina/Verano, Roma
Staz.ne Tiburtina, Roma
