Nervi/Palazzo Sport, Roma 
78481 Colombo, Roma 
78482 Colombo, Roma 
70656 Colombo, Roma 
Colombo/Laurentina, Roma 
Colombo/Vedana, Roma
Colombo/Fontanellato, Roma
Colombo/Grotta Perfetta, Roma
70662 Colombo, Roma 
70663 Colombo, Roma 
70664 Colombo, Roma 
Colombo/Fiera di Roma, Roma
70666 Colombo, Roma 
70667 Colombo, Roma 
70668 Colombo, Roma 
70670 Colombo, Roma  
70671 Terme Caracalla, Roma
70672 Terme Caracalla, Roma 
70673 Amba Aradam, Roma
70674 Amba Aradam, Roma
84 Piazza di San Giovanni in Laterano, Roma
110 Via Merulana, Roma
245B Via Merulana, Roma
4 Via Merulana, Roma
Gioberti 70433, Roma 
Termini 70733, Roma
