Largo Colli Albani, Roma
Menghini, Roma
Crivellucci, Roma
Fortifiocca/Denina, Roma
De Cesare, Roma
Cibrario, Roma
Baccarini/Papi, Roma
Baccarini/C.Ne Appia, Roma
Don Orione, Roma
Albalonga, Roma
Ceneda, Roma
Magna Grecia/Tuscolo, Roma
30 Via Faleria, Roma
Appia/San Giovanni, Roma
Porta San Giovanni, Roma
Piazza san giovanni in laterano, Roma
158 Via Merulana, Roma
130 Via Labicana, Roma
21 Piazza del Colosseo, Roma
70341 Fori Imperiali, Roma
70342 Fori Imperiali, Roma
Plebiscito, Roma
Argentina, Roma
Rinascimento, Roma
Piazza delle Cinque Lune, Roma
Zanardelli, Roma
Lgt Marzio, Roma
Vittoria Colonna, Roma
P.za Cavour, Roma
Cicerone/Plinio, Roma
Marcantonio Colonna, Roma
Lepanto, Roma
P.za Cinque Giornate, Roma
Giulio Cesare/ Lepanto, Roma
